City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Buraydah,SA,2022-05-07 19:36:07,26.326,43.975,79.25,18,0,10.58
204,Hammerfest,NO,2022-05-07 19:36:08,70.6634,23.6821,34.25,93,100,33.38
205,Kizema,RU,2022-05-07 19:36:08,61.113,44.8302,49.12,80,91,9.86
206,Abha,SA,2022-05-07 19:36:09,18.2164,42.5053,66.02,68,0,3.44
207,Ponta Do Sol,PT,2022-05-07 19:36:09,32.6667,-17.1,66.13,68,34,7.4
208,Dunedin,NZ,2022-05-07 19:36:09,-45.8742,170.5036,61.81,57,100,3.94
209,Maroantsetra,MG,2022-05-07 19:36:10,-15.4333,49.7333,74.12,91,79,3.69
210,Kathu,TH,2022-05-07 19:36:10,7.9178,98.3332,87.69,99,100,9.22
211,Moerai,PF,2022-05-07 19:36:11,-22.4333,-151.3333,79.11,79,23,15.82
212,Hobyo,SO,2022-05-07 19:36:11,5.3505,48.5268,83.1,83,7,20.89
213,Sao Joao Da Barra,BR,2022-05-07 19:36:12,-21.6403,-41.0511,78.89,75,1,15.82
214,Isangel,VU,2022-05-07 19:36:12,-19.55,169.2667,74.98,64,15,17.63
215,Komsomolskiy,UZ,2022-05-07 19:36:13,40.4272,71.7189,70.52,52,0,6.91
216,Cidreira,BR,2022-05-07 19:36:13,-30.1811,-50.2056,65.25,69,0,6.02
217,Tara,RU,2022-05-07 19:36:14,56.8944,74.371,33.19,54,34,5.03
218,Katsuura,JP,2022-05-07 19:36:14,35.1333,140.3,60.82,92,18,5.79
219,Maltahohe,NA,2022-05-07 19:36:14,-24.8333,16.9833,51.1,57,0,14.38
220,Rawson,AR,2022-05-07 19:36:15,-43.3002,-65.1023,77.04,31,22,10.04
221,Kilimatinde,TZ,2022-05-07 19:36:15,-5.85,34.95,67.93,66,43,3.8
222,Port Lincoln,AU,2022-05-07 19:36:16,-34.7333,135.8667,55.49,79,1,2.42
223,Quatre Cocos,MU,2022-05-07 19:36:16,-20.2078,57.7625,77.09,79,30,15.05
224,Meulaboh,ID,2022-05-07 19:36:17,4.1363,96.1285,76.77,90,100,6.08
225,Deputatskiy,RU,2022-05-07 19:36:17,69.3,139.9,2.12,95,47,5.5
226,Bambous Virieux,MU,2022-05-07 19:36:18,-20.3428,57.7575,77.22,83,75,5.75
227,Margate,GB,2022-05-07 19:36:18,51.3813,1.3862,55.31,89,5,5.01
228,Malakal,SS,2022-05-07 19:36:18,9.5334,31.6605,87.84,48,66,5.39
229,Fortuna,US,2022-05-07 19:36:19,40.5982,-124.1573,55.65,88,100,12.66
230,Cabo San Lucas,MX,2022-05-07 19:32:18,22.8909,-109.9124,88.9,26,0,3.44
231,Boone,US,2022-05-07 19:36:19,39.0334,-92.3335,73.8,55,0,9.64
232,Esso,RU,2022-05-07 19:36:20,55.9333,158.7,34.43,85,40,4.65
233,Tuatapere,NZ,2022-05-07 19:36:20,-46.1333,167.6833,55.09,97,100,1.57
234,Tabou,CI,2022-05-07 19:36:21,4.423,-7.3528,81.75,80,100,8.72
235,Chabahar,IR,2022-05-07 19:36:21,25.2919,60.643,80.89,81,0,5.73
236,Conceicao Do Araguaia,BR,2022-05-07 19:36:22,-8.2578,-49.2647,84.6,72,38,3.22
237,Lompoc,US,2022-05-07 19:32:38,34.6391,-120.4579,77.68,64,0,25.32
238,Umm Lajj,SA,2022-05-07 19:36:22,25.0213,37.2685,76.89,48,0,11.03
239,Llanes,ES,2022-05-07 19:36:23,43.4198,-4.7549,59.2,88,76,6.64
240,Haines Junction,CA,2022-05-07 19:36:23,60.7522,-137.5108,35.55,87,100,2.3
241,Masterton,NZ,2022-05-07 19:36:23,-40.9597,175.6575,57.88,91,77,5.28
242,Praia Da Vitoria,PT,2022-05-07 19:36:24,38.7333,-27.0667,66.76,82,75,2.44
243,Viedma,AR,2022-05-07 19:36:24,-40.8135,-62.9967,76.12,27,9,18.88
244,Bayshore Gardens,US,2022-05-07 19:36:25,27.4253,-82.5904,86.14,64,40,11.5
245,Hamilton,US,2022-05-07 19:32:04,39.1834,-84.5333,61.07,76,100,18.41
246,Shirokiy,RU,2022-05-07 19:36:25,49.758,129.523,35.42,74,0,8.46
247,Yulara,AU,2022-05-07 19:36:26,-25.2406,130.9889,44.44,57,0,6.91
248,Muyezerskiy,RU,2022-05-07 19:36:26,63.9333,31.65,36.93,93,100,7.23
249,Belaya Gora,RU,2022-05-07 19:36:27,68.5333,146.4167,18.23,91,100,11.45
250,Maromitsa,RU,2022-05-07 19:36:27,59.8683,48.0123,46.04,74,24,8.63
251,San Patricio,US,2022-05-07 19:36:27,28.017,-97.5169,97.52,38,0,14.88
252,Clyde River,CA,2022-05-07 19:36:28,70.4692,-68.5914,19.63,86,100,3.44
253,Kamaishi,JP,2022-05-07 19:36:28,39.2667,141.8833,47.8,84,88,6.29
254,Guzelyurt,TR,2022-05-07 19:36:29,38.2772,34.3719,40.46,84,77,2.93
255,Batticaloa,LK,2022-05-07 19:36:29,7.7102,81.6924,81.64,79,100,5.14
256,Gat,IL,2022-05-07 19:36:30,31.61,34.7642,65.08,72,47,4.63
257,Yeppoon,AU,2022-05-07 19:36:30,-23.1333,150.7333,65.98,84,100,7.81
258,Kieta,PG,2022-05-07 19:36:30,-6.2167,155.6333,78.78,84,71,0.94
259,Maldonado,UY,2022-05-07 19:32:10,-34.6667,-54.9167,70.99,71,100,0.83
260,Santana Do Livramento,BR,2022-05-07 19:36:31,-30.8908,-55.5328,64.98,74,0,4.32
261,Luanda,AO,2022-05-07 19:34:32,-8.8368,13.2343,78.8,94,20,4.61
262,Port Macquarie,AU,2022-05-07 19:31:41,-31.4333,152.9167,49.89,67,78,7.14
263,Bairiki,KI,2022-05-07 19:36:32,1.3292,172.9752,80.6,83,20,10.36
264,Churapcha,RU,2022-05-07 19:36:32,62.0025,132.4325,30.87,93,100,3.2
265,Yamethin,MM,2022-05-07 19:36:33,20.4333,96.15,78.19,82,92,3.53
266,Vardo,NO,2022-05-07 19:36:33,70.3705,31.1107,36.88,79,19,28.25
267,Flin Flon,CA,2022-05-07 19:36:33,54.7682,-101.865,62.44,51,100,3.44
268,Comodoro Rivadavia,AR,2022-05-07 19:36:34,-45.8667,-67.5,73.26,40,0,23.02
269,Abu Dhabi,AE,2022-05-07 19:35:07,24.4667,54.3667,93.31,40,0,6.91
270,Touros,BR,2022-05-07 19:36:34,-5.1989,-35.4608,76.08,86,100,11.83
271,Santa Marta,CO,2022-05-07 19:34:28,11.2408,-74.199,91.45,62,40,8.05
272,Talcahuano,CL,2022-05-07 19:36:35,-36.7167,-73.1167,60.48,63,20,11.5
273,Pangnirtung,CA,2022-05-07 19:36:35,66.1451,-65.7125,15.8,86,75,4.61
274,Benito Juarez,MX,2022-05-07 19:36:36,19.385,-99.165,84.02,22,20,5.75
275,Nabire,ID,2022-05-07 19:36:36,-3.3667,135.4833,75.96,96,99,2.73
276,Jalu,LY,2022-05-07 19:36:37,29.0331,21.5482,78.13,30,98,13.76
277,Dalvik,IS,2022-05-07 19:36:37,65.9702,-18.5286,48.13,74,100,3.87
278,Wilmington,US,2022-05-07 19:32:29,34.2257,-77.9447,80.51,56,75,17.27
279,Nenjiang,CN,2022-05-07 19:36:38,49.1833,125.2167,40.71,62,0,1.48
280,Pemangkat,ID,2022-05-07 19:36:38,1.1667,108.9667,77.72,88,86,6.8
281,Puerto El Triunfo,SV,2022-05-07 19:36:39,13.2833,-88.55,94.12,68,41,8.99
282,Porto Novo,BJ,2022-05-07 19:36:39,6.4965,2.6036,79.63,82,46,5.14
283,Hofn,IS,2022-05-07 19:36:39,64.2539,-15.2082,44.1,77,10,11.74
284,Nanortalik,GL,2022-05-07 19:36:40,60.1432,-45.2371,39.9,74,100,5.55
285,Natal,BR,2022-05-07 19:33:25,-5.795,-35.2094,82.62,83,100,8.05
286,Lima,PE,2022-05-07 19:35:26,-12.0432,-77.0282,71.85,60,0,11.5
287,Christchurch,NZ,2022-05-07 19:36:41,-43.5333,172.6333,56.41,81,61,5.75
288,Caravelas,BR,2022-05-07 19:36:41,-17.7125,-39.2481,74.34,90,90,12.59
289,Rassvet,RU,2022-05-07 19:36:41,46.8333,40.75,49.3,61,86,6.11
290,Sobolevo,RU,2022-05-07 19:36:42,54.4299,31.8996,49.84,84,99,10.67
291,Awjilah,LY,2022-05-07 19:36:42,29.1081,21.2869,76.46,33,100,17.36
292,Erdenet,MN,2022-05-07 19:36:43,49.0333,104.0833,43.48,66,0,6.11
293,Garowe,SO,2022-05-07 19:36:44,8.4054,48.4845,83.95,61,84,13.96
