City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Pangkalanbuun,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
490,Nacala,MZ,67.86,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
491,Lamu,KE,80.38,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
492,Acuna,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
495,Evanston,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
497,Kyabe,TD,95.77,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
498,Kariba,ZW,74.25,scattered clouds,-16.5167,28.8,Caribbea Bay Hotel
499,Carahue,CL,61.03,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
500,Amapa,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
501,Port Huron,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
502,Kattivakkam,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
505,Hamilton,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
506,Jackson,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
507,Tarija,US,60.49,scattered clouds,37.7799,-121.978,San Ramon Marriott
508,Nova Olimpia,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
511,Ati,TD,95.77,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
513,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
515,Mufulira,ZM,63.77,clear sky,-12.5498,28.2407,Kamiria lodge
516,Levelland,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
517,Khairagarh,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
518,Salinas,EC,80.31,overcast clouds,0.6,-80.0333,Quinta Samay
519,Pitimbu,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
520,Bure,ET,68.31,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
522,Pak Phanang,TH,81.07,moderate rain,8.3511,100.202,Green Park Inn Hotel
523,Carutapera,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
524,Ottumwa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
526,Srandakan,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
528,Chuy,UY,74.59,few clouds,-34.6667,-54.9167,La Cimarrona
530,Lamar,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
533,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Alize Plage
534,Los Andes,CL,64.94,clear sky,-32.8337,-70.5983,Hotel Los Andes
537,Ciudad Bolivar,VE,86.29,overcast clouds,8.1222,-63.5497,Hotel Edi
538,Kalabo,ZM,63.77,clear sky,-12.5498,28.2407,Kamiria lodge
544,Lorengau,PG,80.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
545,Miandrivazo,MG,75.47,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
546,Cape Canaveral,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
547,Waddan,LY,76.19,clear sky,29.1081,21.2869,المنزل
548,Nokaneng,BW,61.41,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
549,Asuncion Nochixtlan,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
550,Addis Abeba,ET,68.31,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
557,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
561,Chincholi,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
562,Namibe,AO,75.92,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
563,South Venice,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
565,Cervo,ES,70.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
569,Port Blair,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
570,Pochutla,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
571,Brookings,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
572,Neiafu,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
575,Lake Havasu City,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
578,Cortez,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
579,Healdsburg,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
580,Muncar,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
581,Ravar,IR,93.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
582,El Sauzal,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
584,Analipsis,GR,64.54,clear sky,35.3167,25.5667,Castello Village Resort
585,Guajara-Mirim,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
590,Kibondo,TZ,65.5,overcast clouds,-10.6833,35.65,mtakuja
591,Phan Thiet,VN,82.2,overcast clouds,10.346,107.0843,Seaside Resort
592,Plouzane,FR,66.25,clear sky,48.4352,-4.3972,Brit Hotel Brest Le Relecq-Kerhuon
593,Benghazi,LY,76.19,clear sky,29.1081,21.2869,المنزل
594,Marsh Harbour,BS,79.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
596,San Carlos De Bariloche,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
597,Banda Aceh,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
599,Utiroa,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
600,Barao De Melgaco,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
605,Tezu,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
606,Kuching,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
